"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3305393,"September 11, 2025",Florida,Tampa,"6000 block of Woodville St",1,5,0,0,0,N/A
3304563,"September 9, 2025",California,"San Francisco","1555 Burke St",0,6,0,0,0,N/A
3304605,"September 8, 2025",California,"Santa Ana","400 S Susan St",1,3,0,0,0,N/A
3303073,"September 7, 2025",Ohio,Cleveland,"1051 W 10th St",0,5,0,1,1,N/A
3302748,"September 7, 2025",Texas,Cleveland,"2843 County Rd 5018",2,4,0,0,0,N/A
3303232,"September 7, 2025",Tennessee,Memphis,"4100 block of Rosewind Cir",0,4,0,0,0,N/A
3302041,"September 6, 2025",Virginia,Portsmouth,"Manly St and Dahlia St S",1,3,0,0,0,N/A
3300931,"September 3, 2025",Missouri,"Kansas City","Harrison St and E Armour Blvd",0,5,0,0,0,N/A
3299148,"September 1, 2025","New York",Bronx,"686 Allerton Ave",1,4,0,0,5,N/A
3298615,"September 1, 2025",Illinois,Chicago,"3600 block of S Cottage Grove Ave",0,5,0,0,1,N/A
3297880,"August 31, 2025",Illinois,Chicago,"2700 block of W Haddon Ave",0,4,0,0,0,N/A
3297889,"August 30, 2025",Illinois,"Chicago Heights","400 block of W 14th St",1,4,0,0,1,N/A
3298204,"August 30, 2025",Mississippi,Jackson,"5627 Dogwood Trail",2,2,0,0,3,N/A
3297867,"August 30, 2025",Illinois,Chicago,"3500 block of S State St",0,7,0,0,0,N/A
3297573,"August 29, 2025","New York","Syracuse (Geddes)","1002 State Fair Blvd",0,4,0,1,1,N/A
3297408,"August 29, 2025",Florida,"Fort Lauderdale","657 NW 9th St",0,4,0,0,0,N/A
3294737,"August 27, 2025",Minnesota,Minneapolis,"509 W 54th St",2,21,1,0,0,N/A
3294361,"August 26, 2025",California,"Los Angeles","8501 S Figueroa St",0,5,0,0,0,N/A
3294369,"August 26, 2025",Minnesota,Minneapolis,"E 29th St and Clinton Ave",1,6,0,0,0,N/A
3292906,"August 24, 2025",Missouri,"Kansas City","E 13th St and Grand Blvd",2,3,0,0,0,N/A
3293218,"August 24, 2025",Maryland,Hagerstown,"11205 John F Kennedy Dr",0,4,0,0,0,N/A
3292691,"August 23, 2025","New York",Bronx,"Burke Ave and Wickham Ave",2,3,0,0,4,N/A
3292026,"August 22, 2025","New York",Bronx,"1401 Overing St",0,4,0,0,0,N/A
3289583,"August 18, 2025","West Virginia","Mount Carbon","Adena Dr",1,3,1,0,0,N/A
3288499,"August 17, 2025",Virginia,Richmond,"1700 block of Clarkson Rd",1,3,0,0,0,N/A
3288282,"August 17, 2025","New York",Brooklyn,"903 Franklin Ave",1,11,2,0,0,N/A
3290521,"August 17, 2025",Mississippi,Prentiss,"84 Young Rd",1,4,0,0,5,N/A
3290307,"August 16, 2025",Washington,Grandview,"Apricot Rd and County Line Rd",0,5,0,0,0,N/A
3288024,"August 16, 2025",Indiana,Indianapolis,"3100 block of Brouse Ave",0,5,0,0,0,N/A
3288736,"August 16, 2025",Michigan,Saginaw,"S 23rd St and Perkins St",0,5,0,0,0,N/A
3288301,"August 16, 2025",Illinois,Chicago,"2400 block of W Jackson Blvd",0,4,0,0,0,N/A
3284255,"August 11, 2025",Illinois,Chicago,"700 block of E 43rd St",0,5,0,0,0,N/A
3283186,"August 10, 2025",Illinois,Chicago,"100 block of N La Crosse Ave",1,5,0,0,0,N/A
3283977,"August 10, 2025",Mississippi,Jackson,"357 N Mart Plaza",0,8,0,0,0,N/A
3283199,"August 10, 2025",Illinois,Chicago,"4500 block of W Wilcox St",0,4,0,0,0,N/A
3283060,"August 9, 2025",Maryland,Baltimore,"5101 Queensbury Ave",1,5,0,0,0,N/A
3282825,"August 9, 2025",Texas,Midland,"610 E Industrial Ave",0,4,0,0,1,N/A
3281735,"August 7, 2025",Ohio,Cleveland,"1900 block of N Taylor Rd",2,2,0,0,1,N/A
3280275,"August 6, 2025",Georgia,"Fort Stewart","594 Vanguard Rd",0,5,0,0,1,N/A
3278590,"August 4, 2025",California,"Los Angeles","E 14th Pl and Paloma St",2,6,0,0,0,N/A
3278919,"August 3, 2025",Virginia,"Virginia Beach","4900 block of Gulfstream Cir",0,4,0,0,0,N/A
3278049,"August 3, 2025",Iowa,"Iowa City","600 block of E Court St",0,4,0,0,2,N/A
3278491,"August 2, 2025",Nebraska,Omaha,"3501 N 30th St",0,6,0,1,1,N/A
3277877,"August 2, 2025",Illinois,Harvey,"14400 block of Des Plaines St",0,5,1,1,0,N/A
3276908,"August 1, 2025",Montana,Anaconda,"819 E 3rd St",4,0,0,0,1,N/A
3276476,"July 30, 2025",Georgia,Atlanta,"2479 Abner Terrace NW",0,4,0,0,0,N/A
3275972,"July 30, 2025",Pennsylvania,Philadelphia,"728 S 55th St",0,6,0,0,1,N/A
3276738,"July 29, 2025",Tennessee,Tiptonville,"Carrington Rd",4,0,0,0,1,N/A
3273804,"July 28, 2025",Michigan,Detroit,"3344 Puritan Ave",2,2,0,0,1,N/A
3273521,"July 28, 2025",Nevada,Reno,"2500 E 2nd St",3,3,1,0,0,N/A
3273423,"July 28, 2025",Georgia,Atlanta,"349 Edgewood Ave",1,10,0,0,1,N/A
